bigram,n,theme,literal
promising swell,1,NA,promising swell
pronged brass,1,NA,pronged brass
pronounced taste,1,NA,pronounced taste
pronounced tidal,1,NA,pronounced tidal
pronounced willpower,1,NA,pronounced willpower
proper observatory,1,NA,proper observatory
proper sounding,1,NA,proper sounding
proper survey,1,NA,proper survey
properly cooked,1,NA,properly cooked
properly due,1,NA,properly due
properly prepared,1,NA,properly prepared
proportion consisted,1,NA,proportion consisted
proportioned animal,1,NA,proportioned animal
proposed sledge,1,NA,proposed sledge
prospect revealed,1,NA,prospect revealed
prospects water,1,NA,prospects water
prostrated spirits,1,NA,prostrated spirits
prostration provoked,1,NA,prostration provoked
protecting reindeer,1,NA,protecting reindeer
protection emitted,1,NA,protection emitted
protective covering,1,NA,protective covering
protective harbour,1,NA,protective harbour
protective snow,1,NA,protective snow
protobathybius preparations,1,NA,protobathybius preparations
protoplasm masses,1,NA,protoplasm masses
protracted call,1,NA,protracted call
protracted unpleasant,1,NA,protracted unpleasant
protracted victory,1,NA,protracted victory
protruding barbs,1,NA,protruding barbs
proud corvette,1,NA,proud corvette
proud frigate,1,NA,proud frigate
proud oysters,1,NA,proud oysters
prove hindrances,1,NA,prove hindrances
prøven 39,1,NA,prøven 39
provide excellent,1,NA,provide excellent
provide shelter,1,NA,provide shelter
provided 10,1,NA,provided 10
provided assorted,1,NA,provided assorted
provided food,1,NA,provided food
provided information,1,NA,provided information
provided proof,1,NA,provided proof
provided tangible,1,NA,provided tangible
provision boxes,1,NA,provision boxes
provisioning played,1,NA,provisioning played
provisions cached,1,NA,provisions cached
provisions coal,1,NA,provisions coal
provisions hayes,1,NA,provisions hayes
provisions house,1,NA,provisions house
provisions instruments,1,NA,provisions instruments
provisions life,1,NA,provisions life
provisions lying,1,NA,provisions lying
provisions master,1,NA,provisions master
provisions provisions,1,NA,provisions provisions
provisions sledges,1,NA,provisions sledges
provisions stores,1,NA,provisions stores
provisions suffered,1,NA,provisions suffered
provoke joy,1,NA,provoke joy
provoked purely,1,NA,provoked purely
pseudo fossil,1,NA,pseudo fossil
pseudo prolapsus,1,NA,pseudo prolapsus
psychic phenomenon,1,NA,psychic phenomenon
psychrometer r.h,1,NA,psychrometer r.h
psychrometric readings,1,NA,psychrometric readings
ptarmigan 26,1,NA,ptarmigan 26
ptarmigan droppings,1,NA,ptarmigan droppings
pter 1,1,NA,pter 1
pter 10,1,NA,pter 10
pter 11,1,NA,pter 11
pter 12,1,NA,pter 12
pter 13,1,NA,pter 13
pter 14,1,NA,pter 14
pter 15,1,NA,pter 15
pter 16,1,NA,pter 16
pter 17,1,NA,pter 17
pter 18,1,NA,pter 18
pter 19,1,NA,pter 19
pter 21,1,NA,pter 21
pter 22,1,NA,pter 22
pter 23,1,NA,pter 23
pter 25,1,NA,pter 25
pter 26,1,NA,pter 26
pter 27,1,NA,pter 27
pter 28,1,NA,pter 28
pter 29,1,NA,pter 29
pter 3,1,NA,pter 3
pter 4,1,NA,pter 4
pter 5,1,NA,pter 5
pter 6,1,NA,pter 6
pter 7,1,NA,pter 7
pter 8,1,NA,pter 8
pter 9,1,NA,pter 9
public 38,1,NA,public 38
public meeting,1,NA,public meeting
public opinion,1,NA,public opinion
public service,1,NA,public service
public vessel,1,NA,public vessel
publication 1,1,NA,publication 1
publication 39,1,NA,publication 39
publication coming,1,NA,publication coming
published census,1,NA,published census
publishing morton’s,1,NA,publishing morton’s
puffins 54,1,NA,puffins 54
pulled free,1,NA,pulled free
pulled loose,1,NA,pulled loose
pulled taut,1,NA,pulled taut
pulse beats,1,NA,pulse beats
pumps ceased,1,NA,pumps ceased
pumps functioning,1,NA,pumps functioning
pumps gushing,1,NA,pumps gushing
pumps operating,1,NA,pumps operating
pumps stopped,1,NA,pumps stopped
pumps suddenly,1,NA,pumps suddenly
punch flowed,1,NA,punch flowed
punctuality suffered,1,NA,punctuality suffered
pup begins,1,NA,pup begins
pupping sites,1,NA,pupping sites
pups 2,1,NA,pups 2
pups barely,1,NA,pups barely
pups defiance,1,NA,pups defiance
pups kennel,1,NA,pups kennel
pups wails,1,NA,pups wails
purchased knives,1,NA,purchased knives
purchased tigress,1,NA,purchased tigress
pure carbonaceous,1,NA,pure carbonaceous
pure eskimo,1,NA,pure eskimo
pure mercury,1,NA,pure mercury
pure water,1,NA,pure water
purebred dogs,1,NA,purebred dogs
purest enjoyment,1,NA,purest enjoyment
purple bordered,1,NA,purple bordered
purple shadows,1,NA,purple shadows
purple tints,1,NA,purple tints
purple violet,1,NA,purple violet
purplish red,1,NA,purplish red
purpose altogether,1,NA,purpose altogether
purpose due,1,NA,purpose due
purpose found,1,NA,purpose found
purpose joseph,1,NA,purpose joseph
purposes adequately,1,NA,purposes adequately
purred happily,1,NA,purred happily
purring contentedly,1,NA,purring contentedly
pursuer quickly,1,NA,pursuer quickly
push eastward,1,NA,push eastward
push hard,1,NA,push hard
push onward,1,NA,push onward
pushed ahead,1,NA,pushed ahead
pushed beneath,1,NA,pushed beneath
pushed noisily,1,NA,pushed noisily
pushed violently,1,NA,pushed violently
pushing forward,1,NA,pushing forward
pushing north,1,NA,pushing north
puzzling red,1,NA,puzzling red
pycnogonidae 18,1,NA,pycnogonidae 18
pyramid shaped,1,NA,pyramid shaped
quadrangula buzzed,1,NA,quadrangula buzzed
qualities weighed,1,NA,qualities weighed
quarrelsome glaucous,1,NA,quarrelsome glaucous
quarter century,1,NA,quarter century
quarter muskox,1,NA,quarter muskox
quarterly journal,1,NA,quarterly journal
quarters 5,1,NA,quarters 5
quarters close,1,NA,quarters close
quarters dr,1,NA,quarters dr
quarters drop,1,NA,quarters drop
quarters due,1,NA,quarters due
quarters forward,1,NA,quarters forward
quarters hall’s,1,NA,quarters hall’s
quarters latitude,1,NA,quarters latitude
quarters markham,1,NA,quarters markham
quarters moisture,1,NA,quarters moisture
quarters rensselaer,1,NA,quarters rensselaer
quarto pages,1,NA,quarto pages
quartz grains,1,NA,quartz grains
quartz inclusions,1,NA,quartz inclusions
quartz veins,1,NA,quartz veins
question arises,1,NA,question arises
question gains,1,NA,question gains
questions contained,1,NA,questions contained
questions directed,1,NA,questions directed
quick movement,1,NA,quick movement
quick survey,1,NA,quick survey
quickly approaching,1,NA,quickly approaching
quickly assembled,1,NA,quickly assembled
quickly bring,1,NA,quickly bring
quickly brought,1,NA,quickly brought
quickly caught,1,NA,quickly caught
quickly coming,1,NA,quickly coming
quickly decreasing,1,NA,quickly decreasing
quickly departing,1,NA,quickly departing
quickly descended,1,NA,quickly descended
quickly destroyed,1,NA,quickly destroyed
quickly devour,1,NA,quickly devour
quickly dissolved,1,NA,quickly dissolved
quickly drank,1,NA,quickly drank
quickly drop,1,NA,quickly drop
quickly dug,1,NA,quickly dug
quickly evacuated,1,NA,quickly evacuated
quickly evaporated,1,NA,quickly evaporated
quickly exhausted,1,NA,quickly exhausted
quickly fading,1,NA,quickly fading
quickly fine,1,NA,quickly fine
quickly flies,1,NA,quickly flies
quickly hauled,1,NA,quickly hauled
quickly headed,1,NA,quickly headed
quickly hurried,1,NA,quickly hurried
quickly lowered,1,NA,quickly lowered
quickly manned,1,NA,quickly manned
quickly packed,1,NA,quickly packed
quickly push,1,NA,quickly push
quickly raked,1,NA,quickly raked
quickly ran,1,NA,quickly ran
quickly released,1,NA,quickly released
quickly removed,1,NA,quickly removed
quickly repeated,1,NA,quickly repeated
quickly sketched,1,NA,quickly sketched
quickly skin,1,NA,quickly skin
quickly slid,1,NA,quickly slid
quickly stoked,1,NA,quickly stoked
quickly stowed,1,NA,quickly stowed
quickly threw,1,NA,quickly threw
quickly torn,1,NA,quickly torn
quickly unfolded,1,NA,quickly unfolded
quidi vidi,1,NA,quidi vidi
quiet celebration,1,NA,quiet celebration
quietly anchored,1,NA,quietly anchored
quietly outfitted,1,NA,quietly outfitted
quoted document,1,NA,quoted document
r.h wind,1,NA,r.h wind
r.w.d bryan,1,NA,r.w.d bryan
rabbits wolves,1,NA,rabbits wolves
race lived,1,NA,race lived
raced home,1,NA,raced home
racing clouds,1,NA,racing clouds
racing currents,1,NA,racing currents
radcliff island,1,placename,radcliff island
rafted ice,1,NA,rafted ice
rafted pressure,1,NA,rafted pressure
rage quickly,1,NA,rage quickly
raged angrily,1,NA,raged angrily
raged ferociously,1,NA,raged ferociously
raged terribly,1,NA,raged terribly
ragged forms,1,NA,ragged forms
ragged moss,1,NA,ragged moss
ragged people,1,NA,ragged people
raging elements,1,NA,raging elements
raging fury,1,NA,raging fury
raging pack,1,NA,raging pack
raging sea,1,NA,raging sea
raging streams,1,NA,raging streams
railings lay,1,NA,railings lay
railway journey,1,NA,railway journey
railway stations,1,NA,railway stations
railways exist,1,NA,railways exist
rain alternated,1,NA,rain alternated
rain ceased,1,NA,rain ceased
rain clouds,1,NA,rain clouds
rain faithfully,1,NA,rain faithfully
rain gauges,1,NA,rain gauges
rain gently,1,NA,rain gently
rain recorded,1,NA,rain recorded
rain water,1,NA,rain water
rainbow colours,1,NA,rainbow colours
rainbow flocks,1,NA,rainbow flocks
rained heavily,1,NA,rained heavily
rains passed,1,NA,rains passed
rainy morning,1,NA,rainy morning
raise doubts,1,NA,raise doubts
raised 3,1,NA,raised 3
raised floe,1,NA,raised floe
raised frame,1,NA,raised frame
raised noticeably,1,NA,raised noticeably
raised plank,1,NA,raised plank
raised platform,1,NA,raised platform
raised spot,1,NA,raised spot
ramming hummocks,1,NA,ramming hummocks
ran ahead,1,NA,ran ahead
ran busily,1,NA,ran busily
ran crunching,1,NA,ran crunching
ran east,1,NA,ran east
ran horizontally,1,NA,ran horizontally
ran northward,1,NA,ran northward
ran s3,1,NA,ran s3
range lying,1,NA,range lying
range offers,1,NA,range offers
ranged close,1,NA,ranged close
ranked rows,1,NA,ranked rows
ranting rhythms,1,NA,ranting rhythms
ranunculus glacialis,1,flora,ranunculus glacialis
rapid break,1,NA,rapid break
rapid change,1,NA,rapid change
rapid departure,1,NA,rapid departure
rapid flight,1,NA,rapid flight
rapid onset,1,NA,rapid onset
rapid rotary,1,NA,rapid rotary
rapid thawing,1,NA,rapid thawing
rapid voyage,1,NA,rapid voyage
rapid weathering,1,NA,rapid weathering
rapid wing,1,NA,rapid wing
rapidly bryan,1,NA,rapidly bryan
rapidly changing,1,NA,rapidly changing
rapidly charring,1,NA,rapidly charring
rapidly diminishing,1,NA,rapidly diminishing
rapidly drifting,1,NA,rapidly drifting
rapidly eastward,1,NA,rapidly eastward
rapidly northward,1,NA,rapidly northward
rapidly rising,1,NA,rapidly rising
rapidly south,1,NA,rapidly south
rare beauty,1,NA,rare beauty
rare events,1,NA,rare events
rare faithfulness,1,NA,rare faithfulness
rare fossil,1,NA,rare fossil
rare indomitable,1,NA,rare indomitable
rare loyalty,1,NA,rare loyalty
rare mineral,1,NA,rare mineral
rare occasionally,1,NA,rare occasionally
rare phenomenon,1,NA,rare phenomenon
rare rhodostethia,1,NA,rare rhodostethia
rare saxicava,1,NA,rare saxicava
rare short,1,NA,rare short
rarely caught,1,NA,rarely caught
rarely ceased,1,NA,rarely ceased
rarely contained,1,NA,rarely contained
rarely encountered,1,NA,rarely encountered
rarely fewer,1,NA,rarely fewer
rarely heavier,1,NA,rarely heavier
rarely low,1,NA,rarely low
rarely manage,1,NA,rarely manage
rarely occurring,1,NA,rarely occurring
rarely permit,1,NA,rarely permit
rarely reaches,1,NA,rarely reaches
rarely rises,1,NA,rarely rises
rarely varied,1,NA,rarely varied
rate hope,1,NA,rate hope
rations due,1,NA,rations due
rations meyer,1,NA,rations meyer
rattlers 12,1,NA,rattlers 12
rattling noise,1,NA,rattling noise
rattling note,1,NA,rattling note
rattling rigging,1,NA,rattling rigging
rattling snorting,1,NA,rattling snorting
ratzen ein,1,NA,ratzen ein
rave rock,1,NA,rave rock
raven appeared,1,NA,raven appeared
raven statistical,1,NA,raven statistical
raven wing,1,NA,raven wing
ravens bravely,1,NA,ravens bravely
ravens enjoyed,1,NA,ravens enjoyed
ravens sat,1,NA,ravens sat
ravenscraig beset,1,NA,ravenscraig beset
ravenscraig steamed,1,NA,ravenscraig steamed
ravenscraig vain,1,NA,ravenscraig vain
ravenscraig’s captain,1,NA,ravenscraig’s captain
raw chester,1,NA,raw chester
raw days,1,NA,raw days
raw hide,1,NA,raw hide
raw march,1,NA,raw march
raw summer,1,NA,raw summer
raw trough,1,NA,raw trough
raw walrus,1,NA,raw walrus
rays break,1,NA,rays break
rays broke,1,NA,rays broke
rays constantly,1,NA,rays constantly
rays hit,1,NA,rays hit
rays lured,1,NA,rays lured
rays specifically,1,NA,rays specifically
reach bottom,1,NA,reach bottom
reach calm,1,NA,reach calm
reach deeper,1,NA,reach deeper
reach exeter,1,NA,reach exeter
reach force,1,NA,reach force
reach smith,1,NA,reach smith
reached 13.89,1,NA,reached 13.89
reached 30,1,NA,reached 30
reached 75,1,NA,reached 75
reached bare,1,NA,reached bare
reached cape,1,NA,reached cape
reached dundee,1,NA,reached dundee
reached england,1,NA,reached england
reached fig,1,NA,reached fig
reached fitzclarence,1,NA,reached fitzclarence
reached hope,1,NA,reached hope
reached jakobshavn,1,NA,reached jakobshavn
reached johanna,1,NA,reached johanna
reached latitude,1,NA,reached latitude
reached melville,1,NA,reached melville
reached north,1,NA,reached north
reached overhanging,1,NA,reached overhanging
reached port,1,NA,reached port
reached rensselaer,1,NA,reached rensselaer
reached sanderson’s,1,NA,reached sanderson’s
reached sandy,1,NA,reached sandy
reached smooth,1,NA,reached smooth
reached speeds,1,NA,reached speeds
reached terra,1,NA,reached terra
reached tyson’s,1,NA,reached tyson’s
reached upernavik,1,NA,reached upernavik
reached washington,1,NA,reached washington
reaches approximately,1,NA,reaches approximately
reaches sea,1,NA,reaches sea
reaching grinnell,1,NA,reaching grinnell
reaching land,1,NA,reaching land
reaching sea,1,NA,reaching sea
reaching shore,1,NA,reaching shore
reaction gales,1,NA,reaction gales
reaction set,1,NA,reaction set
read 40.9,1,NA,read 40.9
read c.f,1,NA,read c.f
read ch,1,NA,read ch
read st,1,NA,read st
read suffice,1,NA,read suffice
reading takes,1,NA,reading takes
reads council,1,NA,reads council
ready furs,1,NA,ready furs
ready shortly,1,NA,ready shortly
reagent box,1,NA,reagent box
real ancient,1,NA,real ancient
real battle,1,NA,real battle
real chain,1,NA,real chain
real cunning,1,NA,real cunning
real danger,1,NA,real danger
real eskimos,1,NA,real eskimos
real grave,1,NA,real grave
real journey,1,NA,real journey
real mania,1,NA,real mania
real nourishers,1,NA,real nourishers
real pecuniary,1,NA,real pecuniary
reality bear,1,NA,reality bear
reality smothered,1,NA,reality smothered
rear extremities,1,NA,rear extremities
rear surface,1,NA,rear surface
reason polaris,1,NA,reason polaris
recedes markedly,1,NA,recedes markedly
receive sufficient,1,NA,receive sufficient
received daily,1,NA,received daily
received food,1,NA,received food
received fresh,1,NA,received fresh
received severe,1,NA,received severe
receives special,1,NA,receives special
recent age,1,NA,recent age
recent british,1,NA,recent british
recent gale,1,NA,recent gale
recent snowfall,1,NA,recent snowfall
recent stopping,1,NA,recent stopping
recent storms,1,NA,recent storms
recently built,1,NA,recently built
recently passed,1,NA,recently passed
recently shouted,1,NA,recently shouted
recht op,1,NA,recht op
reciprocal effect,1,NA,reciprocal effect
reckless fashion,1,NA,reckless fashion
reckless pursuit,1,NA,reckless pursuit
recognize cape,1,NA,recognize cape
recognize one’s,1,NA,recognize one’s
reconcile kane’s,1,NA,reconcile kane’s
reconnaissance trip,1,NA,reconnaissance trip
reconnoitre ice,1,NA,reconnoitre ice
recorded 117,1,NA,recorded 117
recorded 14.5,1,NA,recorded 14.5
recorded 37.2,1,NA,recorded 37.2
recorded 4.44,1,NA,recorded 4.44
recorded arranged,1,NA,recorded arranged
recorded previously,1,NA,recorded previously
recording 43,1,NA,recording 43
recording 68.5,1,NA,recording 68.5
recording thermometer,1,NA,recording thermometer
records provide,1,NA,records provide
recovered 4,1,NA,recovered 4
recovered ch,1,NA,recovered ch
rectangular piece,1,NA,rectangular piece
rectangular silhouette,1,NA,rectangular silhouette
red beneath,1,NA,red beneath
red colour,1,NA,red colour
red draped,1,NA,red draped
red encircled,1,NA,red encircled
red fox,1,NA,red fox
red glow,1,NA,red glow
red gush,1,NA,red gush
red light,1,NA,red light
red lights,1,NA,red lights
red matt,1,NA,red matt
red midnight,1,NA,red midnight
red patch,1,NA,red patch
red patches,1,NA,red patches
red portion,1,NA,red portion
red sash,1,NA,red sash
red shading,1,NA,red shading
red shirts,1,NA,red shirts
red snow,1,NA,red snow
red spring,1,NA,red spring
red syenite,1,NA,red syenite
red trim,1,NA,red trim
reddened spots,1,NA,reddened spots
reddish flower,1,NA,reddish flower
reddish glimmer,1,NA,reddish glimmer
reddish gneisses,1,NA,reddish gneisses
reddish sand,1,NA,reddish sand
reddish skin,1,NA,reddish skin
reddishly burning,1,NA,reddishly burning
redeeming interference,1,NA,redeeming interference
reduce speed,1,NA,reduce speed
reduced condition,1,NA,reduced condition
reduced due,1,NA,reduced due
reducing speed,1,NA,reducing speed
reef building,1,NA,reef building
reefed sails,1,NA,reefed sails
reel revolved,1,NA,reel revolved
refined christian,1,NA,refined christian
refined concealed,1,NA,refined concealed
refitted 21,1,NA,refitted 21
reflecting cover,1,NA,reflecting cover
reflection warm,1,NA,reflection warm
refraction played,1,NA,refraction played
refractive index,1,NA,refractive index
refractoriness increased,1,NA,refractoriness increased
refractory dogs,1,NA,refractory dogs
refractory vicious,1,NA,refractory vicious
refreshing halfsleep,1,NA,refreshing halfsleep
refuge floe,1,NA,refuge floe
refuge hut,1,NA,refuge hut
refugee hanseatics,1,NA,refugee hanseatics
refuse lie,1,NA,refuse lie
refusing food,1,NA,refusing food
regard wheat,1,NA,regard wheat
regions individual,1,NA,regions individual
regions secular,1,NA,regions secular
regnault instrument,1,NA,regnault instrument
regrettable condition,1,NA,regrettable condition
regrettable imprecision,1,NA,regrettable imprecision
regular duty,1,NA,regular duty
regular hourly,1,NA,regular hourly
regular light,1,NA,regular light
regular observations,1,NA,regular observations
regular scientific,1,NA,regular scientific
regular sequence,1,NA,regular sequence
regular ship’s,1,NA,regular ship’s
regular terraces,1,NA,regular terraces
regular tide,1,NA,regular tide
regular watch,1,NA,regular watch
regular waves,1,NA,regular waves
regularly developed,1,NA,regularly developed
regularly grounded,1,NA,regularly grounded
regularly observe,1,NA,regularly observe
regularly organized,1,NA,regularly organized
regularly proportioned,1,NA,regularly proportioned
regulated activity,1,NA,regulated activity
reichsthaler annually,1,NA,reichsthaler annually
reigned inside,1,NA,reigned inside
reindeer bear,1,NA,reindeer bear
reindeer bears,1,NA,reindeer bears
reindeer due,1,NA,reindeer due
reindeer hunting,1,NA,reindeer hunting
reindeer involuntarily,1,NA,reindeer involuntarily
reindeer meat,1,NA,reindeer meat
reindeer people,1,NA,reindeer people
reindeer return,1,NA,reindeer return
reindeer specimen,1,NA,reindeer specimen
reindeer’s neck,1,NA,reindeer’s neck
reise auf,1,NA,reise auf
reisen nach,1,NA,reisen nach
related thermometers,1,NA,related thermometers
relation du,1,NA,relation du
relative feelings,1,NA,relative feelings
relative position,1,NA,relative position
relevant document,1,NA,relevant document
relevant observations,1,NA,relevant observations
relevant sections,1,NA,relevant sections
reliable data,1,NA,reliable data
reliable readings,1,NA,reliable readings
reliably informed,1,NA,reliably informed
relief 25,1,NA,relief 25
relief clothes,1,NA,relief clothes
relieved ten,1,NA,relieved ten
religious custom,1,NA,religious custom
religious dreamers,1,NA,religious dreamers
religious holiday,1,NA,religious holiday
religious ideas,1,NA,religious ideas
religious views,1,NA,religious views
remain attached,1,NA,remain attached
remain concealed,1,NA,remain concealed
remain hooked,1,NA,remain hooked
remain limited,1,NA,remain limited
remain memorable,1,NA,remain memorable
remain undeveloped,1,NA,remain undeveloped
remain unresolved,1,NA,remain unresolved
remain unsuccessful,1,NA,remain unsuccessful
remained inaccessible,1,NA,remained inaccessible
remained inside,1,NA,remained inside
remained obscure,1,NA,remained obscure
remained solid,1,NA,remained solid
remained sticking,1,NA,remained sticking
remained true,1,NA,remained true
remained unchanged,1,NA,remained unchanged
remained unflinching,1,NA,remained unflinching
remained unsuccessful,1,NA,remained unsuccessful
remained untouched,1,NA,remained untouched
remaining 16,1,NA,remaining 16
remaining layers,1,NA,remaining layers
remaining lines,1,NA,remaining lines
remaining pelts,1,NA,remaining pelts
remaining proportions,1,NA,remaining proportions
remaining scientific,1,NA,remaining scientific
remaining seal,1,NA,remaining seal
remaining whaleboats,1,NA,remaining whaleboats
remains buried,1,NA,remains buried
remains completely,1,NA,remains completely
remains seaworthy,1,NA,remains seaworthy
remarkable cathedral,1,NA,remarkable cathedral
remarkable circumstance,1,NA,remarkable circumstance
remarkable personalities,1,NA,remarkable personalities
remarkable tricks,1,NA,remarkable tricks
remarks change,1,NA,remarks change
remarks language,1,NA,remarks language
remedial measures,1,NA,remedial measures
remember hearing,1,NA,remember hearing
reminded regularly,1,NA,reminded regularly
remingtons sharps,1,NA,remingtons sharps
remote distance,1,NA,remote distance
remote similarity,1,NA,remote similarity
removed numerous,1,NA,removed numerous
render assistance,1,NA,render assistance
rending howling,1,NA,rending howling
renewed activity,1,NA,renewed activity
renewed attack,1,NA,renewed attack
renewed attempt,1,NA,renewed attempt
renewed force,1,NA,renewed force
renewed strength,1,NA,renewed strength
renounce alcohol,1,NA,renounce alcohol
renounced pillows,1,NA,renounced pillows
rensselaer bay,1,placename,rensselaer bay
repaired firearms,1,NA,repaired firearms
repaired hauling,1,NA,repaired hauling
repairing storm,1,NA,repairing storm
repeated hauls,1,NA,repeated hauls
repeated north,1,NA,repeated north
repeated shouts,1,NA,repeated shouts
repeated vain,1,NA,repeated vain
repeatedly ardent,1,NA,repeatedly ardent
repeatedly brought,1,NA,repeatedly brought
repeatedly fired,1,NA,repeatedly fired
repeatedly forced,1,NA,repeatedly forced
repeatedly measured,1,NA,repeatedly measured
repeatedly obliged,1,NA,repeatedly obliged
repeatedly resorted,1,NA,repeatedly resorted
repeating circle,1,NA,repeating circle
repentant sinners,1,NA,repentant sinners
replicate images,1,NA,replicate images
reply meyer,1,NA,reply meyer
report appears,1,NA,report appears
report reads,1,NA,report reads
reported earlier,1,NA,reported earlier
reported reindeer,1,NA,reported reindeer
reporting verbally,1,NA,reporting verbally
reports refer,1,NA,reports refer
represent animal,1,NA,represent animal
represent harpoon,1,NA,represent harpoon
represent human,1,NA,represent human
represent marks,1,NA,represent marks
represent totally,1,NA,represent totally
represented 60,1,NA,represented 60
represented roughly,1,NA,represented roughly
republic protect,1,NA,republic protect
repugnant effect,1,NA,repugnant effect
repulse bay,1,placename,repulse bay
request adams,1,NA,request adams
requested snowshoe,1,NA,requested snowshoe
required changing,1,NA,required changing
required endless,1,NA,required endless
required selected,1,NA,required selected
requires careful,1,NA,requires careful
requires special,1,NA,requires special
reradiated energy,1,NA,reradiated energy
rescue attempt,1,NA,rescue attempt
rescue returned,1,NA,rescue returned
rescued nimrod,1,NA,rescued nimrod
rescued party,1,NA,rescued party
rescuing vessel,1,NA,rescuing vessel
researcher believes,1,NA,researcher believes
resemble disintegrating,1,NA,resemble disintegrating
resembled degenerate,1,NA,resembled degenerate
residence 30,1,NA,residence 30
residence earlier,1,NA,residence earlier
residence experienced,1,NA,residence experienced
resident danes,1,NA,resident danes
resident owns,1,NA,resident owns
residents hurried,1,NA,residents hurried
resistance 3,1,NA,resistance 3
resistance cast,1,NA,resistance cast
resistance encountered,1,NA,resistance encountered
resolute companions,1,NA,resolute companions
resonators undoubtedly,1,NA,resonators undoubtedly
resounding shout,1,NA,resounding shout
resources offered,1,NA,resources offered
respectable people,1,NA,respectable people
respectful words,1,NA,respectful words
respectfully c.f,1,NA,respectfully c.f
respectfully emil,1,NA,respectfully emil
respite 14,1,NA,respite 14
rest consisted,1,NA,rest consisted
rest displayed,1,NA,rest displayed
rest disturbed,1,NA,rest disturbed
rest finally,1,NA,rest finally
rest negative,1,NA,rest negative
rest sank,1,NA,rest sank
rest scattered,1,NA,rest scattered
rest spread,1,NA,rest spread
rest stop,1,NA,rest stop
rest swam,1,NA,rest swam
rest unswervingly,1,NA,rest unswervingly
resting herd,1,NA,resting herd
restless mind,1,NA,restless mind
restless semi,1,NA,restless semi
restlessly upward,1,NA,restlessly upward
restricted extent,1,NA,restricted extent
restricted nature,1,NA,restricted nature
restricted roots,1,NA,restricted roots
restricts growth,1,NA,restricts growth
rests slips,1,NA,rests slips
result applies,1,NA,result applies
result brought,1,NA,result brought
result completion,1,NA,result completion
result hayes’s,1,NA,result hayes’s
result twilight,1,NA,result twilight
resultant ice,1,NA,resultant ice
resultant pause,1,NA,resultant pause
resultant water,1,NA,resultant water
resulting direction,1,NA,resulting direction
results obtained,1,NA,results obtained
retained bark,1,NA,retained bark
retreat hunting,1,NA,retreat hunting
retreated standing,1,NA,retreated standing
retreating ebb,1,NA,retreating ebb
retrograde development,1,NA,retrograde development
return aboard,1,NA,return aboard
return march,1,NA,return march
return quickly,1,NA,return quickly
return stay,1,NA,return stay
return tomorrow,1,NA,return tomorrow
return voyage,1,NA,return voyage
returned 19,1,NA,returned 19
returned accompanied,1,NA,returned accompanied
returned budington,1,NA,returned budington
returned half,1,NA,returned half
returned meyer,1,NA,returned meyer
returned shortly,1,NA,returned shortly
returned unexpectedly,1,NA,returned unexpectedly
returning ebb,1,NA,returning ebb
returning home,1,NA,returning home
returns home,1,NA,returns home
rev charles,1,NA,rev charles
rev dr,1,NA,rev dr
revealed significant,1,NA,revealed significant
revelation provoked,1,NA,revelation provoked
revelled noisily,1,NA,revelled noisily
reverberated sadly,1,NA,reverberated sadly
reverse applied,1,NA,reverse applied
reverse occurred,1,NA,reverse occurred
reversible brass,1,NA,reversible brass
review bylot,1,NA,review bylot
revitalizing effect,1,NA,revitalizing effect
revitalizing influence,1,NA,revitalizing influence
revolting lemonade,1,NA,revolting lemonade
rheumatic ailments,1,NA,rheumatic ailments
rheumatic pain,1,NA,rheumatic pain
rheumatic pains,1,NA,rheumatic pains
rheumatism meyer,1,NA,rheumatism meyer
rhododendron lapponicum,1,flora,rhododendron lapponicum
rhodostethia rosea,1,flora,rhodostethia rosea
rhythmic clanking,1,NA,rhythmic clanking
rhythmic fashion,1,NA,rhythmic fashion
rhythms hour,1,NA,rhythms hour
ribbed jellyfish,1,NA,ribbed jellyfish
ribs lower,1,NA,ribs lower
rich blooms,1,NA,rich blooms
rich blossoms,1,NA,rich blossoms
rich haul,1,NA,rich haul
rich meat,1,NA,rich meat
rich private,1,NA,rich private
rich scientific,1,NA,rich scientific
rich source,1,NA,rich source
richard owen,1,NA,richard owen
richardson’s authority,1,NA,richardson’s authority
richest haul,1,NA,richest haul
richly compensated,1,NA,richly compensated
richly enjoyed,1,NA,richly enjoyed
richly rewarded,1,NA,richly rewarded
richly spiced,1,NA,richly spiced
ricochets harmlessly,1,NA,ricochets harmlessly
ridge 8,1,NA,ridge 8
ridge covered,1,NA,ridge covered
ridge finally,1,NA,ridge finally
ridges chester,1,NA,ridges chester
ridges stretched,1,NA,ridges stretched
ridgway 18,1,NA,ridgway 18
ridiculously similarly,1,NA,ridiculously similarly
riding breeches,1,NA,riding breeches
rifle bullet,1,NA,rifle bullet
rifle carefully,1,NA,rifle carefully
rifle developed,1,NA,rifle developed
rifle finished,1,NA,rifle finished
rifle misfired,1,NA,rifle misfired
rifle pressed,1,NA,rifle pressed
rifle prevented,1,NA,rifle prevented
rifle reaching,1,NA,rifle reaching
rifle shot,1,NA,rifle shot
rifle stock,1,NA,rifle stock
rifle volleys,1,NA,rifle volleys
rifles lay,1,NA,rifles lay
rifles ready,1,NA,rifles ready
rifling ensured,1,NA,rifling ensured
rigged ship,1,NA,rigged ship
rigging carefully,1,NA,rigging carefully
rightly conclude,1,NA,rightly conclude
